user_id,name,city,segment,dietary_preference,veg_days,rfm_recency,rfm_frequency,rfm_monetary,order_count,avg_order_value,favourite_cuisines
U00023,Ekavir Bhargava,Mumbai,Family,veg,"[0, 3]",1,19,922,32,630,"[""Continental"", ""South Indian"", ""Cafe""]"
U00024,Ekansh Balay,Pune,Occasional,veg,[],21,2,253,1,342,"[""Mughlai""]"
U00025,Ekavir Varkey,Mumbai,Family,none,"[0, 3]",2,15,682,21,821,"[""Street Food""]"
U00026,Arya Sunder,Bangalore,Budget,veg,[],9,25,176,26,160,"[""North Indian"", ""Italian"", ""Mughlai""]"
U00027,Kevin Solanki,Bangalore,Occasional,non-veg,"[1, 3, 4]",31,3,321,6,378,"[""Italian""]"
U00028,Urvashi Ray,Delhi,Occasional,veg,[],22,4,357,1,289,"[""Desserts & Bakery"", ""Continental"", ""South Indian""]"
U00029,Girindra Chatterjee,Mumbai,Occasional,non-veg,[1],20,2,347,1,296,"[""Chinese"", ""Desserts & Bakery""]"
U00030,Irya Sampath,Kolkata,Occasional,non-veg,[],18,3,238,2,376,"[""Street Food"", ""Desserts & Bakery"", ""Continental""]"
U00031,Unni Bhagat,Delhi,Premium,non-veg,[],4,19,879,31,597,"[""South Indian"", ""Biryani"", ""Italian""]"
U00032,Darsh Rau,Bangalore,Occasional,none,[],39,3,439,2,311,"[""Cafe"", ""North Indian"", ""Continental""]"
U00033,Ikbal Kothari,Delhi,Budget,non-veg,[4],6,20,218,16,198,"[""Continental""]"
U00034,Ranveer Yadav,Delhi,Premium,non-veg,"[0, 2, 5]",1,13,923,24,996,"[""Street Food"", ""Continental"", ""Mughlai""]"
U00035,Logan Sami,Bangalore,Occasional,non-veg,[],12,2,298,4,380,"[""Continental"", ""Chinese"", ""South Indian""]"
U00036,Arya Shere,Mumbai,Budget,veg,[],5,12,203,46,152,"[""Cafe"", ""South Indian""]"
U00037,Faqid Savant,Hyderabad,Family,veg,[],6,13,1434,23,744,"[""Mughlai"", ""South Indian""]"
U00038,Chandresh Zachariah,Chennai,Family,none,[],3,11,1042,22,1162,"[""Cafe""]"
U00039,Girik Khalsa,Pune,Family,none,[2],2,13,1197,30,911,"[""Italian"", ""Desserts & Bakery"", ""Cafe""]"
U00040,Niharika Sunder,Pune,Health,veg,[],13,10,305,18,586,"[""Street Food""]"
U00041,Tanay Rattan,Delhi,Budget,non-veg,[],5,21,300,27,258,"[""Cafe"", ""Chinese""]"
U00042,Nitesh Raghavan,Bangalore,Health,veg,[3],9,14,524,10,441,"[""Cafe""]"
U00043,Madhavi Lanka,Chennai,Budget,non-veg,"[3, 4, 5]",7,12,306,25,195,"[""Mughlai""]"
U00044,Bhavika Sampath,Hyderabad,Budget,veg,[],3,16,214,23,263,"[""Chinese"", ""South Indian"", ""North Indian""]"
U00045,Mohammed Gupta,Jaipur,Occasional,non-veg,[],31,1,434,4,408,"[""Continental""]"
U00046,Teerth Bhardwaj,Delhi,Premium,veg,[2],2,10,664,15,843,"[""North Indian""]"
U00047,Dipta Bhandari,Bangalore,Occasional,none,[],28,3,421,5,271,"[""Street Food"", ""North Indian"", ""South Indian""]"
U00048,Vansha Thakkar,Chennai,Occasional,veg,"[0, 4, 5]",38,1,507,7,387,"[""South Indian"", ""North Indian"", ""Desserts & Bakery""]"
U00049,Dakshesh Trivedi,Bangalore,Premium,veg,[3],4,19,854,21,594,"[""North Indian"", ""Mughlai""]"
U00050,Quincy Biswas,Delhi,Occasional,veg,[1],35,3,467,4,295,"[""South Indian"", ""North Indian"", ""Mughlai""]"
U00051,Wahab Raval,Delhi,Premium,none,[2],3,18,555,12,914,"[""South Indian""]"
U00052,Yatin Baral,Delhi,Premium,veg,"[2, 5]",2,5,611,24,986,"[""Biryani""]"
U00053,Oni Virk,Delhi,Budget,veg,[6],8,21,308,45,194,"[""Cafe""]"
U00054,Advika Jayaraman,Mumbai,Budget,non-veg,[],5,27,211,39,258,"[""Continental"", ""South Indian""]"
U00055,William Lanka,Hyderabad,Health,none,[],7,7,347,15,393,"[""Italian"", ""Cafe"", ""Chinese""]"
U00056,Karan Mital,Bangalore,Budget,non-veg,[3],6,28,251,45,219,"[""Chinese"", ""Italian""]"
U00057,Diya Bora,Chennai,Premium,non-veg,"[0, 2]",5,16,678,22,637,"[""Mughlai""]"
U00058,Tara Chaudhry,Jaipur,Occasional,veg,[],36,2,584,2,309,"[""South Indian""]"
U00059,Tanay Toor,Bangalore,Premium,non-veg,[3],6,10,812,30,612,"[""Biryani""]"
U00060,Kevin Palla,Chennai,Budget,veg,"[0, 4, 5]",4,22,328,22,260,"[""Cafe"", ""Biryani""]"
U00061,Yash Pingle,Mumbai,Family,non-veg,[],2,13,877,18,583,"[""South Indian""]"
U00062,Nakul Sarma,Chennai,Occasional,veg,"[1, 2, 4]",20,4,527,4,203,"[""Mughlai""]"
U00063,Abhiram Mistry,Delhi,Family,veg,"[0, 2]",8,10,1034,36,645,"[""Cafe""]"
U00064,Krish Lalla,Bangalore,Family,veg,[],3,11,733,37,798,"[""Desserts & Bakery"", ""North Indian"", ""Street Food""]"
U00065,Hredhaan Dugal,Lucknow,Premium,non-veg,[],5,7,540,30,605,"[""Continental""]"
U00066,Baghyawati Kade,Pune,Budget,non-veg,[],8,19,293,34,291,"[""South Indian""]"
U00067,Samar Lalla,Jaipur,Health,veg,[],13,13,352,24,477,"[""Biryani""]"
U00068,Zayan Behl,Mumbai,Occasional,non-veg,[],10,4,406,2,381,"[""South Indian"", ""Italian"", ""Continental""]"
U00069,Pallavi Malhotra,Hyderabad,Occasional,non-veg,[],44,2,299,6,379,"[""Biryani"", ""Desserts & Bakery""]"
U00070,Aarush Nath,Delhi,Budget,non-veg,"[3, 4, 6]",5,17,276,32,289,"[""Continental""]"
U00071,Adweta Edwin,Hyderabad,Budget,veg,[],2,28,152,25,209,"[""Desserts & Bakery"", ""Chinese"", ""Continental""]"
U00072,Prisha Andra,Mumbai,Family,veg,[],3,18,993,13,1154,"[""Continental"", ""Cafe"", ""North Indian""]"
U00073,Faqid Dixit,Lucknow,Premium,none,"[4, 6]",1,13,770,27,979,"[""Biryani""]"
U00074,Kala Divan,Delhi,Budget,veg,[],4,13,312,20,256,"[""South Indian"", ""Mughlai"", ""Biryani""]"
U00075,Joshua Barman,Mumbai,Premium,none,[],4,12,830,19,979,"[""North Indian""]"
U00076,Janya Baral,Hyderabad,Occasional,non-veg,[2],31,4,509,5,441,"[""Street Food""]"
U00077,Shivansh Krish,Delhi,Premium,none,[6],4,6,1013,22,882,"[""Biryani""]"
U00078,Irya Ray,Jaipur,Premium,non-veg,[],1,13,1149,12,980,"[""North Indian""]"
U00079,Warjas Gaba,Ahmedabad,Premium,none,[4],2,18,1054,10,580,"[""Continental""]"
U00080,Nitara Bakshi,Chennai,Budget,veg,[],9,17,179,28,210,"[""South Indian"", ""Cafe""]"
U00081,Gaurangi Sabharwal,Delhi,Premium,non-veg,[],5,16,908,14,666,"[""Chinese""]"
U00082,Amara Dutta,Hyderabad,Budget,veg,[],8,29,202,48,246,"[""Chinese"", ""Street Food""]"
U00083,Lavanya Barad,Mumbai,Budget,non-veg,[5],2,25,175,40,196,"[""Biryani"", ""Street Food""]"
U00084,Tristan Iyengar,Ahmedabad,Family,non-veg,[],6,12,787,19,535,"[""Italian""]"
U00085,Inaya Mody,Mumbai,Occasional,non-veg,[4],37,1,486,3,432,"[""Biryani"", ""South Indian""]"
U00086,Udant Bajwa,Bangalore,Occasional,veg,"[0, 1]",30,3,431,4,473,"[""North Indian"", ""Continental"", ""Italian""]"
U00087,Mohini Narasimhan,Hyderabad,Budget,none,[],9,12,243,29,189,"[""Desserts & Bakery"", ""Italian""]"
U00088,Ekaraj Mallick,Delhi,Budget,non-veg,[],3,17,177,30,224,"[""Continental"", ""Mughlai""]"
U00089,Yashodhara Ratta,Ahmedabad,Occasional,veg,[],20,3,278,7,438,"[""Mughlai"", ""Street Food"", ""Cafe""]"
U00090,Ayaan D’Alia,Bangalore,Budget,non-veg,"[0, 2, 3]",7,18,188,31,181,"[""Italian"", ""Desserts & Bakery"", ""Biryani""]"
U00091,Pranav Lanka,Bangalore,Family,veg,[6],6,18,1146,12,597,"[""Desserts & Bakery""]"
U00092,Ikbal Saraf,Kolkata,Budget,non-veg,[],1,26,332,30,279,"[""Italian"", ""Desserts & Bakery""]"
U00093,Dipta Sarin,Ahmedabad,Budget,non-veg,"[2, 4, 6]",2,14,239,24,276,"[""Italian"", ""Biryani""]"
U00094,Lekha Gupta,Ahmedabad,Budget,non-veg,[6],4,27,321,31,252,"[""Cafe""]"
U00095,Chaitanya Sarin,Hyderabad,Health,none,"[1, 4, 6]",7,7,435,18,586,"[""Desserts & Bakery"", ""Street Food""]"
U00096,Zinal Yohannan,Mumbai,Budget,none,"[3, 4]",2,29,275,22,203,"[""Italian"", ""Cafe"", ""Desserts & Bakery""]"
U00097,Januja Sankar,Ahmedabad,Occasional,none,[4],35,2,469,7,475,"[""South Indian""]"
U00098,Ganga Murthy,Delhi,Family,veg,[],7,16,914,19,507,"[""Mughlai""]"
U00099,Charita Tripathi,Hyderabad,Occasional,veg,[],37,3,323,2,466,"[""Cafe"", ""Chinese"", ""South Indian""]"
U00100,Nilima Narain,Mumbai,Occasional,non-veg,[],21,2,275,5,212,"[""Street Food"", ""North Indian""]"
U00101,Chakrika Datta,Mumbai,Health,veg,"[0, 6]",7,12,469,14,358,"[""Chinese"", ""North Indian"", ""Street Food""]"
U00102,Osha Raghavan,Bangalore,Family,non-veg,[],6,17,955,13,580,"[""South Indian""]"
U00103,Charvi Ravi,Delhi,Premium,veg,[],2,5,740,15,709,"[""Italian""]"
U00104,Daksha Mangat,Hyderabad,Occasional,non-veg,"[0, 1]",26,2,221,1,255,"[""Mughlai"", ""North Indian"", ""Cafe""]"
U00105,Qushi Nagy,Pune,Health,none,[],7,13,345,10,353,"[""Chinese""]"
U00106,Riya Sathe,Hyderabad,Budget,non-veg,[],6,22,237,20,216,"[""North Indian""]"
U00107,Yasti Solanki,Hyderabad,Occasional,none,[],17,4,539,1,311,"[""Italian""]"
U00108,Frado Mander,Kolkata,Occasional,non-veg,[5],17,3,459,5,297,"[""Italian""]"
U00109,Girik Keer,Bangalore,Occasional,none,"[2, 3]",40,1,306,1,471,"[""Italian""]"
U00110,Umang Issac,Mumbai,Occasional,none,[],39,4,289,7,253,"[""North Indian"", ""Cafe"", ""Continental""]"
U00111,Aryan Batra,Mumbai,Health,vegan,[],10,9,612,19,507,"[""Cafe""]"
U00112,Vaishnavi Bora,Mumbai,Family,non-veg,[4],3,16,679,12,663,"[""Cafe"", ""Desserts & Bakery"", ""Biryani""]"
U00113,Oeshi Hayer,Delhi,Premium,non-veg,[3],2,15,1045,32,938,"[""Mughlai""]"
U00114,Warda Ratta,Delhi,Occasional,none,[],40,3,332,6,432,"[""Mughlai"", ""Chinese"", ""Cafe""]"
U00115,Manbir Ahluwalia,Mumbai,Premium,veg,[],2,14,1154,19,871,"[""Street Food"", ""North Indian""]"
U00116,Pavani Kanda,Bangalore,Family,veg,[],8,16,1353,30,691,"[""Street Food""]"
U00117,Zarna Shetty,Bangalore,Health,veg,[],5,9,628,8,402,"[""Street Food"", ""Chinese"", ""Italian""]"
U00118,Zaid Dara,Chennai,Budget,veg,[],8,14,223,18,150,"[""South Indian"", ""Chinese"", ""Biryani""]"
U00119,Kiaan Shetty,Ahmedabad,Budget,none,[1],2,11,170,48,236,"[""Biryani"", ""Italian""]"
U00120,Saanvi Thaman,Delhi,Family,veg,[4],9,19,777,30,1186,"[""Mughlai"", ""North Indian"", ""Chinese""]"
U00121,Sanaya Dutt,Hyderabad,Budget,veg,[4],1,21,343,26,257,"[""Continental"", ""Desserts & Bakery"", ""Biryani""]"
U00122,Shivani Lad,Mumbai,Family,non-veg,[],2,19,945,20,1038,"[""Chinese"", ""Italian"", ""North Indian""]"
U00123,Aradhana Verma,Delhi,Occasional,non-veg,[],33,2,496,7,212,"[""Street Food"", ""Desserts & Bakery"", ""Cafe""]"
U00124,William Maharaj,Delhi,Premium,none,"[1, 2]",1,13,768,34,914,"[""Desserts & Bakery"", ""Biryani""]"
U00125,Faras Mangal,Chennai,Occasional,non-veg,[],36,3,273,5,478,"[""Italian"", ""Street Food""]"
U00126,Anita Nayak,Ahmedabad,Budget,veg,"[1, 2, 4]",9,25,317,45,282,"[""Italian""]"
U00127,Faris Devi,Chennai,Premium,veg,[],4,11,551,34,751,"[""Cafe"", ""Continental""]"
U00128,Vihaan Rajagopal,Hyderabad,Health,veg,[3],10,7,385,23,471,"[""Mughlai"", ""Cafe""]"
U00129,Tanish Bhatt,Bangalore,Budget,veg,[],9,14,231,15,200,"[""Italian"", ""Street Food"", ""Biryani""]"
U00130,Nikita Narayanan,Ahmedabad,Budget,non-veg,[4],8,19,307,25,216,"[""Mughlai""]"
U00131,Ojasvi Bhatia,Bangalore,Budget,non-veg,"[2, 4, 5]",7,27,173,28,254,"[""Italian""]"
U00132,Osha Ramachandran,Jaipur,Occasional,non-veg,[2],44,1,388,7,218,"[""Chinese"", ""North Indian""]"
U00133,Lajita Sood,Mumbai,Occasional,non-veg,[4],38,2,562,1,219,"[""Chinese"", ""Desserts & Bakery"", ""Biryani""]"
U00134,Indira Misra,Delhi,Budget,none,"[4, 6]",2,16,191,22,234,"[""South Indian""]"
U00135,Oni Yohannan,Pune,Occasional,non-veg,[4],44,1,399,1,239,"[""Mughlai"", ""Cafe"", ""Street Food""]"
U00136,Vinaya Kanda,Mumbai,Premium,non-veg,"[3, 5]",3,14,889,11,673,"[""Cafe"", ""Mughlai"", ""Desserts & Bakery""]"
U00137,Rajata Sunder,Mumbai,Family,non-veg,[],3,19,1273,37,786,"[""Desserts & Bakery"", ""Chinese"", ""Cafe""]"
U00138,Lopa Nayar,Mumbai,Budget,non-veg,"[2, 3, 4]",4,13,270,37,150,"[""Continental"", ""Italian""]"
U00139,Noah Sibal,Delhi,Budget,none,[],4,24,202,17,217,"[""Cafe""]"
U00140,Avi Ramesh,Delhi,Family,veg,"[0, 2, 6]",5,18,832,39,943,"[""Desserts & Bakery""]"
U00141,Fiyaz Sangha,Hyderabad,Occasional,veg,[],21,4,470,3,236,"[""Street Food"", ""North Indian"", ""Cafe""]"
U00142,Triya Gopal,Mumbai,Health,vegan,[],11,13,599,21,473,"[""Biryani"", ""Desserts & Bakery"", ""Chinese""]"
U00143,Abha Raghavan,Bangalore,Budget,veg,[],7,15,164,32,247,"[""Continental""]"
U00144,Siddharth Sha,Delhi,Occasional,non-veg,"[0, 2, 5]",29,4,331,7,438,"[""Biryani"", ""North Indian"", ""Chinese""]"
U00145,Geetika Raghavan,Mumbai,Budget,non-veg,"[2, 3, 4]",6,22,169,47,206,"[""North Indian"", ""Chinese"", ""Desserts & Bakery""]"
U00146,Oviya Krishnan,Delhi,Health,veg,"[5, 6]",8,11,400,19,387,"[""Desserts & Bakery""]"
U00147,Upma Bahl,Hyderabad,Budget,non-veg,[],2,25,342,34,183,"[""Street Food""]"
U00148,Inaya Kapur,Delhi,Occasional,non-veg,"[0, 5, 6]",28,4,203,4,433,"[""Italian""]"
U00149,Banjeet Balasubramanian,Delhi,Family,veg,"[3, 4]",3,14,794,35,1109,"[""South Indian"", ""Desserts & Bakery""]"
U00150,Ryan Bahri,Chennai,Health,none,[],6,12,642,16,367,"[""Cafe"", ""Biryani"", ""Mughlai""]"
U00151,William Date,Bangalore,Premium,non-veg,[2],5,18,808,28,856,"[""Desserts & Bakery""]"
U00152,Ishwar Kamdar,Ahmedabad,Family,non-veg,"[4, 5]",6,19,1174,36,557,"[""Mughlai"", ""Italian"", ""North Indian""]"
U00153,Aahana Pillay,Mumbai,Premium,non-veg,"[1, 4]",4,6,951,15,584,"[""Street Food"", ""South Indian""]"
U00154,Ishwar Gade,Delhi,Occasional,non-veg,"[0, 5]",14,3,552,5,368,"[""North Indian""]"
U00155,Hritik Bal,Chennai,Premium,non-veg,[4],4,14,793,23,947,"[""Continental"", ""Cafe""]"
U00156,Keya Ranganathan,Hyderabad,Health,veg,[3],2,6,626,18,360,"[""Continental"", ""South Indian""]"
U00157,Faqid Kibe,Chennai,Health,veg,"[1, 4, 5]",8,12,542,17,316,"[""North Indian""]"
U00158,Charvi Dara,Hyderabad,Premium,non-veg,[],4,9,500,33,556,"[""South Indian""]"
U00159,Idika Walia,Ahmedabad,Occasional,veg,[],15,1,214,7,366,"[""Street Food"", ""North Indian"", ""Biryani""]"
U00160,Kamala Biswas,Chennai,Occasional,none,"[1, 3, 6]",10,3,514,7,382,"[""Chinese"", ""Italian""]"
U00161,Advik Salvi,Mumbai,Premium,non-veg,[],2,16,579,34,967,"[""North Indian""]"
U00162,Hitesh Sant,Bangalore,Health,vegan,[6],4,13,527,18,397,"[""South Indian""]"
U00163,Tripti Dua,Mumbai,Budget,veg,[],7,25,178,15,293,"[""Biryani""]"
U00164,Patrick Vig,Bangalore,Family,none,[5],3,9,1243,16,571,"[""Chinese"", ""Mughlai"", ""Italian""]"
U00165,Veda Shroff,Chennai,Family,non-veg,[1],9,17,642,13,887,"[""Italian"", ""Desserts & Bakery"", ""Street Food""]"
U00166,Amrita Naidu,Mumbai,Budget,none,"[0, 4]",2,16,213,20,277,"[""South Indian""]"
U00167,Gabriel Mallick,Hyderabad,Occasional,non-veg,"[0, 1, 5]",43,2,363,7,446,"[""Italian"", ""Cafe""]"
U00168,Yagnesh Shetty,Chennai,Budget,non-veg,"[0, 2, 3]",3,22,280,43,158,"[""Mughlai""]"
U00169,Gayathri Balakrishnan,Hyderabad,Budget,non-veg,[],7,21,298,35,221,"[""Street Food"", ""Cafe"", ""Mughlai""]"
U00170,Ekta Gopal,Delhi,Budget,non-veg,[],4,16,260,47,268,"[""Chinese""]"
U00171,Simon Pant,Mumbai,Family,non-veg,[],5,15,763,32,704,"[""Biryani"", ""South Indian""]"
U00172,Harini Mammen,Chennai,Budget,veg,[],4,19,348,20,253,"[""Biryani"", ""Italian""]"
U00173,Advaith Varughese,Hyderabad,Premium,veg,[3],3,14,844,29,916,"[""Desserts & Bakery"", ""Chinese""]"
U00174,Frederick Khurana,Kolkata,Budget,veg,"[1, 3]",2,16,151,40,213,"[""Mughlai"", ""South Indian"", ""Street Food""]"
U00175,Vrinda Khosla,Delhi,Family,veg,[],7,18,1464,24,1008,"[""South Indian""]"
U00176,Vritti Sem,Kolkata,Budget,non-veg,[],3,22,224,32,280,"[""Continental"", ""Desserts & Bakery""]"
U00177,Girik Menon,Kolkata,Occasional,non-veg,[],12,1,249,5,396,"[""Continental"", ""Street Food"", ""Cafe""]"
U00178,Nidhi Kohli,Bangalore,Health,non-veg,[],8,5,583,9,483,"[""Biryani"", ""Street Food"", ""North Indian""]"
U00179,Jyoti Solanki,Mumbai,Family,non-veg,"[1, 3, 5]",8,13,1457,30,716,"[""North Indian"", ""Biryani""]"
U00180,Pavani Narayanan,Hyderabad,Premium,none,[],5,12,652,13,911,"[""Italian""]"
U00181,Sudiksha Madan,Mumbai,Occasional,non-veg,[],14,2,398,7,446,"[""Chinese""]"
U00182,Zayan Kashyap,Pune,Budget,non-veg,[],5,18,255,36,205,"[""Mughlai"", ""Chinese""]"
U00183,Reyansh Mutti,Delhi,Occasional,non-veg,[4],44,1,259,4,477,"[""Mughlai"", ""Cafe"", ""Continental""]"
U00184,Qasim Handa,Mumbai,Occasional,non-veg,[],28,4,277,3,478,"[""Biryani"", ""Italian"", ""North Indian""]"
U00185,Veda Malhotra,Bangalore,Budget,veg,"[4, 6]",6,23,309,48,240,"[""Biryani"", ""Street Food"", ""Italian""]"
U00186,Harish Hari,Jaipur,Budget,veg,[],3,22,346,41,209,"[""Biryani""]"
U00187,Utkarsh Patel,Bangalore,Occasional,veg,"[0, 3, 5]",19,2,507,6,226,"[""Continental"", ""South Indian"", ""Desserts & Bakery""]"
U00188,Chasmum Atwal,Lucknow,Occasional,none,[5],40,1,314,2,293,"[""Biryani""]"
U00189,Anusha Bath,Mumbai,Premium,none,[1],4,19,1089,14,889,"[""South Indian""]"
U00190,Brinda Date,Delhi,Health,non-veg,[],4,8,487,10,572,"[""Desserts & Bakery"", ""Street Food""]"
U00191,Harshil Arora,Mumbai,Budget,non-veg,[],5,18,295,26,195,"[""Continental"", ""Chinese"", ""Street Food""]"
U00192,Upasna Srinivas,Chennai,Occasional,none,"[1, 4, 6]",34,4,498,4,371,"[""South Indian"", ""Desserts & Bakery"", ""Mughlai""]"
U00193,Harini Gour,Delhi,Family,non-veg,"[2, 3, 5]",6,11,869,21,546,"[""Street Food"", ""Cafe"", ""Chinese""]"
U00194,Zayyan Sridhar,Delhi,Family,none,[],7,11,739,27,634,"[""Mughlai"", ""South Indian""]"
U00195,Dhruv Rattan,Jaipur,Occasional,non-veg,[],17,4,504,4,373,"[""Desserts & Bakery""]"
U00196,Ethan Bera,Hyderabad,Health,vegan,[],10,12,531,10,300,"[""Street Food"", ""Desserts & Bakery""]"
U00197,Manthan Modi,Bangalore,Budget,none,[],5,19,268,26,242,"[""Biryani"", ""Chinese"", ""Cafe""]"
U00198,Yuvraj Dani,Delhi,Premium,veg,[],3,13,1077,24,597,"[""Biryani"", ""Mughlai"", ""South Indian""]"
U00199,Upkaar Virk,Delhi,Budget,non-veg,[],8,24,154,44,175,"[""Continental"", ""Street Food""]"
U00200,Shravya Savant,Kolkata,Premium,none,[4],3,13,877,17,975,"[""Chinese"", ""Continental"", ""Mughlai""]"
U00201,Pushti Mody,Hyderabad,Budget,none,[3],1,28,321,43,163,"[""Mughlai"", ""Continental"", ""Street Food""]"
U00202,Hardik Johal,Hyderabad,Occasional,non-veg,[],32,1,313,5,236,"[""Street Food"", ""Cafe""]"
U00203,Aishani Bumb,Hyderabad,Premium,veg,[2],1,7,1175,14,963,"[""Biryani"", ""Desserts & Bakery""]"
U00204,Wriddhish Ghose,Chennai,Premium,veg,[],5,16,618,30,959,"[""North Indian""]"
U00205,Naksh Agate,Ahmedabad,Family,non-veg,[1],7,13,1014,38,539,"[""South Indian""]"
U00206,Shravya Singhal,Delhi,Premium,non-veg,"[3, 4]",4,6,654,32,809,"[""Chinese"", ""South Indian""]"
U00207,Bachittar Kata,Bangalore,Budget,none,"[2, 4]",3,17,203,35,193,"[""Street Food"", ""Biryani"", ""North Indian""]"
U00208,Barkha Setty,Delhi,Premium,veg,[],4,15,549,16,816,"[""Biryani"", ""North Indian"", ""Mughlai""]"
U00209,Vivaan Lalla,Chennai,Family,veg,[2],4,12,1109,23,955,"[""Street Food""]"
U00210,Pavani Contractor,Kolkata,Budget,none,"[5, 6]",3,10,215,36,199,"[""Desserts & Bakery"", ""Continental""]"
U00211,Manthan Lata,Delhi,Premium,non-veg,[5],1,14,541,23,785,"[""Desserts & Bakery"", ""Biryani""]"
U00212,Ekbal Bhasin,Mumbai,Occasional,none,[5],17,3,251,7,323,"[""Continental"", ""Biryani"", ""Desserts & Bakery""]"
U00213,Damyanti Mani,Chennai,Occasional,veg,[],24,3,452,2,317,"[""Continental""]"
U00214,Jeet Sidhu,Chennai,Premium,non-veg,[6],4,5,582,21,975,"[""Cafe"", ""North Indian""]"
U00215,Neha Magar,Bangalore,Occasional,veg,"[2, 5]",40,2,518,5,230,"[""Cafe"", ""Italian""]"
U00216,Raksha Buch,Delhi,Budget,non-veg,[],4,23,334,24,193,"[""Mughlai""]"
U00217,Rachana Naidu,Chennai,Health,veg,[],7,10,637,14,390,"[""North Indian"", ""Chinese"", ""Street Food""]"
U00218,Atharv Chand,Delhi,Family,non-veg,"[3, 4]",5,17,896,12,1071,"[""Continental"", ""Chinese"", ""Mughlai""]"
U00219,Ansh Luthra,Delhi,Occasional,non-veg,"[1, 6]",18,4,446,7,479,"[""Chinese""]"
U00220,Parth Singhal,Hyderabad,Budget,non-veg,[],7,11,294,41,263,"[""Continental"", ""Desserts & Bakery"", ""South Indian""]"
U00221,Arunima Golla,Delhi,Premium,none,"[2, 4]",2,16,797,22,810,"[""Cafe"", ""North Indian"", ""Biryani""]"
U00222,Vyanjana Chand,Delhi,Health,veg,[2],11,13,343,13,552,"[""Desserts & Bakery"", ""South Indian"", ""Continental""]"
U00223,Ijaya Rege,Chennai,Premium,non-veg,[],5,15,532,16,821,"[""Street Food"", ""Cafe"", ""Mughlai""]"
U00224,Ekani Cheema,Mumbai,Family,none,[],4,14,751,19,565,"[""Desserts & Bakery""]"
U00225,Forum Sabharwal,Delhi,Premium,non-veg,"[1, 2]",1,7,865,17,835,"[""South Indian"", ""Italian"", ""Desserts & Bakery""]"
U00226,Bhavya Rattan,Ahmedabad,Family,non-veg,[],7,13,1163,39,1010,"[""Cafe""]"
U00227,Suhani Chakrabarti,Mumbai,Family,veg,[],4,15,830,25,783,"[""Chinese""]"
U00228,Zayyan Naik,Hyderabad,Occasional,non-veg,"[2, 6]",30,2,279,1,378,"[""Desserts & Bakery""]"
U00229,Netra Varkey,Jaipur,Budget,non-veg,[],7,25,190,16,250,"[""Biryani""]"
